1,CP01.007,0,CP - CP01.007 (2008/05) New Generation,12/15/2010,12/15/2010
2,CP01.009,0,CP - CP01.009 (2008/08) 110VDC Battery Chargers - Parent Project,12/15/2010,12/15/2010
3,CP01.011,0,CP - CP01.011 (2008/11) OBT Computer - Parent Project,12/15/2010,12/15/2010
4,CP01.012,0,CP - CP01.012 (2008/12) Audio And Video System - Parent Project,12/15/2010,12/15/2010
5,CP01.013,0,CP - CP01.013 (2008/13) Suspension Valves Overhaul - Parent Project,12/15/2010,12/15/2010
6,CP01.014,0,CP - CP01.014 (2008/14) Vestibules Overhaul - Parent Project,12/15/2010,12/15/2010
7,CP01.015,0,CP - CP01.015 (2008/15) Restrooms Overhaul - Parent Project,12/15/2010,12/15/2010
8,CP01.016,0,CP - CP01.016 (2008/16) Bistro Overhaul,12/15/2010,12/15/2010
9,CP01.019,0,CP - CP01.019 (2009/24) Baggage Car Repair,12/15/2010,12/15/2010
10,CP01.020,0,CP - CP01.020 (2009/25) Pit Lathe - 40Tn Maintenance Facilities Seattle,12/15/2010,12/15/2010
11,CP01.025,0,CP - CP01.025 (CP01.025) Amtrak Installer of Nomad Wi-Fi systems,12/15/2010,12/15/2010
12,CP01.026,0,CP - CP01.026 (CP01.026) Talgo Diagnostics,12/15/2010,12/15/2010
13,MT01,0,MT - MT01 Maintenance General,12/15/2010,12/15/2010
14,MT01.001,0,MT - MT01.001 (2008/07) Bearing Temperature Sensors,12/15/2010,12/15/2010
15,CP01.010,0,MT - CP01.010 (2008/10) Axle Housing Inspection,12/15/2010,12/15/2010
16,MT01.005,0,MT - MT01.005 (2009/27) Power Cars - Electrical Protection Devices Review,12/15/2010,12/15/2010
17,MT01.006,0,MT - MT01.006 (2009/31) Wisconsin DOT Trains - Maintenance,12/15/2010,12/15/2010
18,MT01.012,0,MT - MT01.012 (2009/30) Rolling Assembly MOD (brake & electric),12/15/2010,12/15/2010
19,MT01.013,0,MT - MT01.013 (MT01.013) New Seattle Maintenance Facilities,12/15/2010,12/15/2010
20,MT01.014,0,MT - MT01.014 (MT01.014) Seattle Facilities Movement,12/15/2010,12/15/2010
21,MK01.002,0,MK - MK01.002 (2009/18) Washington New Trains,12/15/2010,12/15/2010
22,MK01.003,0,MK - MK01.003 (2009/19) California New Trains,12/15/2010,12/15/2010
23,MK01.004,0,MK - MK01.004 (2009/20) Midwest New Trains,12/15/2010,12/15/2010
24,MK01.005,0,MK - MK01.005 (2009/23) Texas New Trains,12/15/2010,12/15/2010
25,MK01.006,0,MK - MK01.006 (2009/26) Pit Lathe - New Jersey Transit,12/15/2010,12/15/2010
26,MK01.008,0,MK - MK01.008 (2010/32) Florida New Trains,12/15/2010,12/15/2010
27,MK01.009,0,MK - MK01.009 (2010/34) Pit Lathe - Honolulu Transit,12/15/2010,12/15/2010
28,MK01.010,0,MK - MK01.010 (2010/35) Oregon - Maintenance Business Development,12/15/2010,12/15/2010
29,E00550000 ,0,WI  - E00550000 Wisconsin General,12/15/2010,12/15/2010
30,BALSHEET,0,ZZ   - Balance Sheet,12/15/2010,12/15/2010
